msec,Exper,µVpostEEMD1Ozsqua,µVpostEEMD2Ozsqua,µVpostEEMD3Ozsqua,µVpostEEMD1combinexpOzSquareMask,µVpostEEMD2combinexpOzSquareMask,µVpostEEMD3combinexpOzSquareMask,µVpostEEMD4combinexpOzSquareMask,µVpostEEMD1combinexpOzSquarePseudo,µVpostEEMD2combinexpOzSquarePseudo,µVpostEEMD3combinexpOzSquarePseudo,µVpostEEMD6combinexpOzSquarePseudo,µVpostEEMD1Ozdiamo,µVpostEEMD2Ozdiamo,µVpostEEMD7Ozdiamo,µVpostEEMD1combinexpOzDiamondMask,µVpostEEMD2combinexpOzDiamondMask,µVpostEEMD3combinexpOzDiamondMask,µVpostEEMD4combinexpOzDiamondMask,µVpostEEMD5combinexpOzDiamondMask,µVpostEEMD1combinexpOzDiamondPseudo,µVpostEEMD2combinexpOzDiamondPseudo,µVpostEEMD3combinexpOzDiamondPseudo,µVpostEEMD1OzMask,µVpostEEMD2OzMask,µVpostEEMD3OzMask,µVpostEEMD6OzMask,µVpostEEMD1OzPseudomask,µVpostEEMD2OzPseudomask,µVpostEEMD3OzPseudomask,µVpostEEMD4OzPseudomask,µVpostEEMD6OzPseudomask,µVpostEEMD7OzPseudomask
710,2,379.2387854,438.999727,101.307195,395.6469518,95.55226783,183.9706509,124.2147203,429.368991,890.6799233,404.4750973,354.7651581,479.0191696,374.3347914,560.7037451,571.1884,426.7668,180.2037,88.77662,104.8981,810.8055,530.4622,207.2442,405.338798669735,353.968237213084,356.264820346735,76.9450159785343,504.881915004924,445.833292784278,289.467544182751,163.942642957348,152.227738703338,34.9001184089475
715,2,468.5534954,471.6794314,98.84793297,279.1886299,63.54271131,175.6505509,125.7739764,653.6858064,848.2255641,403.881906,355.4765788,877.2976023,332.3719569,561.3310507,577.7557,373.2437,141.5614,99.95508,110.6215,837.8381,450.7167,215.8893,655.719717089467,386.128277297385,362.226102305866,77.2134372927137,503.798766278937,433.889498612492,268.493740262827,166.578827050761,153.404322404853,36.6533951697834
720,2,591.6915661,463.2843243,95.86321623,184.042192,83.27394813,175.1475184,126.9394571,654.2728752,808.9754,397.7779336,356.6852584,992.4979097,306.1992718,558.314306,814.798,325.5822,87.14496,112.6682,116.0552,680.3753,374.9102,219.4168,603.81395760318,417.292248745243,360.192549241518,76.5992198331461,544.074265032522,446.03265616226,246.469992598034,169.305407713953,154.449862053079,37.9461760447276
725,2,672.6698509,401.9160346,93.96058151,245.1716121,100.777472,174.6047178,127.0879936,417.5613447,764.1719449,382.5658142,357.7319517,783.5869304,348.5252401,559.0386466,815.303,353.8335,43.42065,121.3921,121.7723,709.5043,315.1741,219.2782,290.411755294595,437.875663581046,357.430744671021,76.8825950666969,459.945111788084,446.863925591018,222.22540722837,172.265412000142,155.634245095979,39.7693683030248
730,2,915.9976621,328.416915,94.89344845,422.3147386,152.8839024,166.4643037,126.6797174,460.2609071,694.7611826,365.8232024,359.2520774,661.96077,436.5191509,555.9078851,575.7977,418.5681,61.11254,124.4639,126.9632,865.9226,270.0692,213.7408,254.613838005436,412.460838304502,358.192997458088,75.9859938624615,552.079041768625,440.796488116464,193.115904235594,175.499978788787,156.668974538244,41.0707869332674
735,2,989.313014,283.424331,101.2710251,630.2606934,230.7761548,155.9763804,127.1944176,519.7585661,605.9719871,350.1023042,360.6687012,520.4004122,494.7284574,556.7578689,506.8312,416.9844,108.2309,125.1285,132.8046,1349.116,223.759,198.5631,222.194961919549,324.369318035771,363.320957919976,76.2996577216266,637.849768178994,449.669826191436,163.511031909259,178.904977197883,157.86925735363,42.9326386449087
740,2,813.2816769,260.0750543,116.2635894,1017.33159,282.9195089,148.0547587,128.1536009,357.671983,508.429379,336.0236738,362.5159284,373.7972731,522.0247077,553.566653,413.7292,333.0806,138.302,126.0933,138.2627,1297.213,173.2012,177.9793,228.034314164732,217.853998312017,371.803315826165,75.0912465482941,1181.30651700366,478.917158738069,137.77165838032,182.374738690944,158.898688202904,44.2208380192791
745,2,548.9851268,232.3449486,142.5278863,1357.528025,314.6288667,136.6675524,130.1620772,258.0767203,409.2815664,321.0334628,364.327374,280.1256093,521.6325562,554.5700561,363.4046,275.1485,140.3435,129.5298,144.5326,1012.466,131.9465,162.5914,270.099395035741,152.669554603421,369.315957757433,75.4527487256633,1256.3551929161,512.495112027966,116.992386497723,184.9962099749,160.116787199092,46.0971045706536
750,2,490.2441918,194.8955199,177.8656714,1317.663584,344.8767179,120.1012264,132.8393363,199.2091946,335.1488302,306.2824709,366.5055313,311.9032044,485.2660178,551.3766423,296.0565,253.4219,125.4673,135.8754,150.9069,804.3719,107.988,154.3921,376.680355249469,134.933077085304,353.64093865603,73.9026863655854,1012.75438540586,511.565315561599,100.002740067957,186.641983807173,161.138479083267,47.3557176411015
755,2,409.9407307,155.5944596,213.270735,1155.276191,349.1161995,105.2645635,135.9236952,248.8791676,294.0065425,294.9248718,368.7232834,389.2862796,422.7552781,552.5597723,816.9709,198.4763,120.4125,145.2931,158.4895,562.54,69.99662,154.8708,439.11995272413,138.986381906054,338.345428065706,74.3315857892647,946.736340415521,502.245710974946,86.3521263823257,187.385745873545,162.362895357411,49.227219531205
760,2,233.8325685,125.3193074,243.0298595,1033.120741,316.6640624,97.31254922,138.3050746,322.9277668,274.5280232,286.1565303,371.2206925,480.4542248,361.4038636,549.4269169,1015.593,124.9022,148.4788,157.9908,166.6922,302.0872,4.157776,164.4303,624.42311199102,144.396953446415,327.128650094777,72.4098426662399,861.32283656998,538.0872085152,77.730382615325,187.769747221466,163.349783365223,50.4438445123226
